*्*ौ**े	UNK
*ु*ि*ा*ि*ी*	JJ
*ं*****्*्*्*्***ि	UNK
*ु**़ो**	UNK
*ै**ि*ा*	UNK
*ै**ीं	VM
*्*ा*ू**	NN
*्*ृं	UNK
*ु*्*ा***ा	UNK
**्*ु**ा*	UNK
*ि*ा*ी*ा*	NNP
*ू***े*	UNK
*्*े*्***्*	UNK
**़**	XC.UNK.NNP
***ा*ें	UNK.VM.NN
*े***्*्*	UNK.NNP
*े*ो**ा*ी	NN
*ं*्*ि**	UNK.NN
******्*्*्*्**ु*ों	UNK
*ि**ें*ी	UNK
*्***ा****ो*ि*ा	UNK
*ा*्*ो*	XC.UNK.NN.NNP
*ं**्*ो*	NN
*ि**ें*े	VM
*्*******्*्*्*्**ि*****्*्*्*्***ृ	UNK
***्**ि**ि*्*ा*	UNK
*े*ा**ु*्*ू*ा	UNK
*ा*****्*्*्*्**ो	UNK
**ि*ु*्*ि	NN
ःं*ौ	UNK
**ं*ु*ों	NN
*ु**ै*्**	UNK
**ा*ा*ीं	UNK
*ी*ं**ां	UNK
*्**्**ु*	NN
*ा*ू**ि*्	NN
**्*्*ा**	UNK.JJ.NN
*े*ृ*्*	UNK.NN
**्**ौ**	NN
*ु*्*़्	UNK
*्*ा**ा*ं	NN
*्**ं***ृ	UNK
*ां*ि*ि*े**	NN
*ु**ू*्*ी	UNK
**़्*े*ि*्*ा*	UNK
*ु*ृ*्*	NN
*्***ो**ा*	NN
*ं*ा*्*े**	XC
*्***्**ि*्*	JJ
*ि******्*्*्*्**्*ा*	UNK
**ा*्***	UNK.NN
*ं*्*े*ि*	JJ
*ि*ां**ों	UNK
**ि*ु*्*ो	NN
*े**ो*्*ों	UNK
******ों	UNK
*ा*्*ा*	XC.UNK.JJ.NN.NNP
**ौ**ा*ं*्**	UNK
*ी**ां*	UNK
**्***ा*्*्*	NN
*ो**ू	UNK.NNP
*ा*ा*ा*ि*	NN.JJ
*ै*ि*्**ी	NN
*े*़्*ो*ौ*ी	UNK
*ा****ा*ि*्*ा*	UNK
*्**ि**	UNK.NN
**़्*ि*ी**ू**ी	UNK
*ि*ू**ो*ी	UNK
*ु**े*्**	NN
*ू*्**ी*ां*ा	NN
**ं*ा*ों	UNK.NN
*ु*ो*ी	NN
*्*्*ू*	UNK
****़***ु	UNK
**्**़**ै*	UNK
*ि*े**ि*ा*ों	UNK
***ं*्*ी*	JJ
*ि*्*े***्**	UNK
*ी*ी****ा*ी	UNK
*ु**ै*े***	UNK
**ं*्*ृ*ि*ा*ी	UNK
*्*ा*्*्***्**	JJ.NN
**ु**ां*	CC.JJ.NN
**ि*ां*	UNK.NN.JJ.QF
*ि**ी****े	UNK
*्**ां*ा*्*ि*	UNK
**्*ें*ा*ी	UNK
*्***्*ि**ा*ी*ृ	UNK
*ा*ं*ा*	RB.NN
*़ि*्*	UNK.NN
*े***्*ि	NN
**ि*्*े*्*****्*्*्*्**	UNK
**्*ा*ि*्*	UNK
**्**्***्**	UNK
**ि*ा*ा*ी	UNK.NNP
*ि*ा***्**ी*	UNK
**े*े**	NN
*्**ा*ा*्*ि*	JJ
*े*ु*ि*ा*	JJ
**ो*़ा	RDP
*ि*्*ु**्**	XC.NN
*ि*ि**्*़	UNK
**ुँ*ी	VM
*ै*****्*्*्*्***ा**	UNK
***ा*्*्*	UNK.NN
*ो*ी*ु*ा	UNK
*ा*ॉं*ि	CC
****्*ा	UNK.JJ.NN
**ि*	INTF.JJ.NN.VAUX.XC.RDP.VM.RB.QF.PSP.UNK.NNP
*ौ**्*	UNK.NN
*ु**्*ं*ृ*	UNK
ं***ि*्*्	NN
*िं**ी**ा	UNK
*ा*े*ों	NN
*ु***्*ि*ो**	UNK
*ू*ा***ा**ा	UNK
*****्*्*्*्**ा**ों	UNK
*्*ां*्*ो*े	NN
*ू*्****्*े*	UNK
*ं*्**ा*्*ी*	JJ
*ू*े*्*ि**	UNK
*ा**ु*ि	UNK
*़े*्*ि**	UNK
*ू*ी***	NN
*ं*ू*्*ि	NN
*ा*्**ु*्**	NN
**़्****ां	UNK
*ं**्*ा*****्*्*्*्**्*	UNK
*्*ा*ि**	XC.UNK.JJ.NN
*ा***ृं*	UNK
**्*ो*्**्**ी*	UNK
*ं*ी****	UNK
*ं**्*े**	XC
*़्*े*ि**	UNK
*ं**्*****ा***	UNK
*े*ा*ों	UNK.NN
**ि*ा*ा*ं	NN
****्*ो	XC
***ा**ं*	UNK.NN
****्*्	UNK
*ु*ें*्**ा*	XC
****्*ी	XC.UNK.JJ.NN
***ि*्*ु*	NN
*े***ा*ों	NN
*ा*्*ा*****्*्*्*्**ा*ो**ां*	UNK
****्*े	UNK.NN
*ं**ि**े*्**ा	NN
*़्*े**्**	UNK
**ि*ि***ि	UNK
*ु*़ि*ा	UNK
***ौ*ों	NN
**ि*ो**ों	NN
**ि*ु*ों	UNK
*ं*्*े*्**	XC.NN
**ि*ा*ा*़	UNK
**्****ो***ां*्*	UNK
***ा*्**	UNK.JJ.NN
**ि**्***ी*	JJ
*ा*े*ि*े*	JJ
**ि**़्*ा*ं	UNK
*ो*ा**ृ*्*	XC
*े***्*ी	UNK
*े***्*ु	XC.NN
*ं**ी**	UNK.NN
*ां**ा*ि*ों	NN
*ै*ा*े*	UNK
